shape, chamfer_dist
ShapeNetV2/04256520/cc644fad0b76a441d84c7dc40ac6d743, 7.747095952641038e-05
ShapeNetV2/04256520/cca6e720741a6d00f51f77a6d7299806, 0.00015738567797386022
ShapeNetV2/04256520/ccb08f869edde5e6d8adf1ca87495d41, 7.190197751245965e-05
ShapeNetV2/04256520/ccd0c5e06744ad9a5ca7e476d2d4a26e, 0.00045636180089743547
ShapeNetV2/04256520/cceaeed0d8cf5bdbca68d7e2f215cb19, 0.002124996398512929
ShapeNetV2/04256520/cd1086902b5eb749f51f77a6d7299806, 0.000604697843035396
ShapeNetV2/04256520/cd10e95d1501ed6719fb4103277a6b93, 0.0006867132329752436
ShapeNetV2/04256520/cd249bd432c4bc75b82cf928f6ed5338, 0.0014933678558213931
ShapeNetV2/04256520/cd2a6bf7effd529de96ac0c4e1fb9b1a, 0.0007152697393238597
ShapeNetV2/04256520/cd47287d6da7492e64810cc21086da42, 9.066954332570347e-05
